id,topic,question,answer,score,match_type,token_weights
1,pricing,How much does it cost to ship a flight ticket from Tel Aviv to New York with El Al in April for one person?,"A note in the middle of the article adds that in the pricing section, a flight ticket for one person is shown at $240, although the paragraph also warns that holiday surcharges may be added later.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.5,1.0,1.5,1.5,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0"
2,pricing,"In short, how much does it cost to ship a laptop battery from Israel to New York with El Al in April for 1 unit?","The page mentions that prices for laptop battery routes from Israel to New York can change by season, but it does not show the exact El Al fare for April. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0"
3,pricing,What is the price for installing a flight ticket with El Al?,"A note in the middle of the article adds that get exclusive deals and great rates for hotels and car rentals near Eilat too, the article adds in a promotional paragraph.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,3.0,1.0"
4,pricing,What is the price for installing a office chair with CityCourier?,"The article describes how seasonal demand changes customer waiting times, but it does not provide a direct answer to the requested service detail.",0.0,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
5,pricing,How much does it cost to ship a wireless mouse from Haifa to New York with QuickFix in 24 hours for 3 units?,"The paragraph continues with a warning about delays, but says that buried in the fare table, the listed price for a wireless mouse from Haifa to New York with QuickFix in 24 hours for 3 units is $420, before optional extras are added.",1.0,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
6,pricing,Can you tell me the cost of office chair from Jerusalem to Greece?,"The article says customers can check the price of a office chair during checkout, with no confirmed dollar amount in the sentence. The same article also includes unrelated marketing text and a link to general support.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
7,pricing,Please help: Can you tell me the cost of flight ticket from Jerusalem to Greece?,"If your travel dates are flexible, the whole-month view can help find cheaper days from Jerusalem to Greece, but no actual fare is listed.",0.25,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
8,pricing,Can you tell me the cost of office chair from Israel to Eilat?,The guide spends most of its space comparing mobile app layouts and does not mention the requested product or transaction details. The same article also includes unrelated marketing text and a link to general support.,0.05,different_topic_negative,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
9,pricing,Can you tell me the cost of office chair from Haifa to Eilat?,"The paragraph continues with a warning about delays, but says that buried in the fare table, the listed price for a office chair from Haifa to Eilat with CityCourier in next week for two passengers is $240, before optional extras are added. The same article also includes unrelated marketing text and a link to general support.",0.9,full_messy_article_match,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.0"
10,pricing,What is the price for installing a laptop battery with ExpressShip?,"The page does not present it as a direct answer; instead, it states that a travel note compares Economy and Business prices from Israel to New York, yet the example omits the final amount for 3 units with ExpressShip.",0.55,partial_missing_key_fields,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,1.0,3.0,1.0"
11,pricing,How much does it cost to ship a printer cartridge from Israel to New York with CityCourier in 24 hours for two passengers?,"A note in the middle of the article adds that get exclusive deals and great rates for hotels and car rentals near New York too, the article adds in a promotional paragraph. The same article also includes unrelated marketing text and a link to general support.",0.2,same_topic_wrong_answer,"0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
